"","user_id"
"1","1354874538081853449"
"2","869083469703372800"
"3","1534366854399025154"
"4","1471130079002607618"
"5","1356506725663170560"
"6","1344934314849443840"
"7","1042844146057322496"
"8","1467508794184077312"
"9","1534364183407603712"
"10","1502245029347090432"
"11","1534353355467673601"
"12","1363772351024828419"
"13","1511190970569826307"
"14","3301392200"
"15","1130456255447744518"
"16","1135645422"
"17","1461502050555072516"
"18","1338354721774514182"
"19","1485524647856975875"
"20","1534356182315548672"
"21","1323556121165008897"
"22","1420998045777502210"
"23","1534353543570018306"
"24","1534348613119270913"
"25","1456859756430184451"
"26","1534347453759205376"
"27","1533302916354027521"
"28","2418959737"
"29","821098235926286337"
"30","1413669693664149508"
"31","1363056103282466817"
"32","1420009679787151361"
"33","1388987351729201154"
"34","1246123639767855104"
"35","1508242151074930688"
"36","1405723506139144196"
"37","1468655252039630848"
"38","1534341401432948737"
"39","1137081446"
"40","1296834948268093441"
"41","1293880687959973899"
"42","1452461853485961221"
"43","3023152136"
"44","1457891667445522432"
"45","831974163497771023"
"46","1480925158206488579"
"47","1514907738232717312"
"48","1534325538587811843"
"49","1534328160673845249"
"50","1403368238193340425"
"51","1505315508488314882"
"52","1279247573602013186"
"53","1530631597753606147"
"54","1366483438560284676"
"55","1534166197436284928"
"56","1444829137651343361"
"57","1528536897085227008"
"58","1249303596438417408"
"59","1494270964992983043"
"60","1166602460"
"61","1519154340442820609"
"62","1482092817971396611"
"63","1525953933184753664"
"64","1534270373038108672"
"65","1534253263125618690"
"66","1474543043369918466"
"67","1533034468688007168"
"68","1337915700623634433"
"69","1236591595597770752"
"70","1396130455599058945"
"71","1527007276409704455"
"72","1533836306597687296"
"73","1534247949819121664"
"74","1500939818410426371"
"75","1528286026363719681"
"76","1027120201286836224"
"77","1477680445165010945"
"78","1472756423692107778"
"79","1327646283528433664"
"80","1534236352702734337"
"81","1534235851852435456"
"82","1500110726161395712"
"83","1497163021222748161"
"84","1281231639440310273"
"85","1534220044342661121"
"86","1498678584872996878"
"87","1534212300634091520"
"88","1534217864600858633"
"89","1065596209912414208"
"90","1520980600391598080"
"91","1494550390125350921"
"92","1482404354741223428"
"93","1241163684224749568"
"94","1534212591337123840"
"95","1481991075204333570"
"96","1489432570270195714"
"97","1453805745825329156"
"98","1534203855843782657"
"99","1196056182319800321"
"100","1450887800639815686"
"101","1489262930163953667"
"102","1491911012697907200"
"103","1533746943041863681"
"104","1433822840864718848"
"105","1258407192920612864"
"106","1139685963611815942"
"107","933953678326689793"
"108","1294978994060685315"
"109","614031200"
"110","1534151542671933440"
"111","1504483010879832064"
"112","1460145955496677376"
"113","1534196268737908736"
"114","1524226855368536064"
"115","1092265364744941569"
