"","user_id"
"1","1532956027062190080"
"2","536387461"
"3","1143032556469805057"
"4","1533658954122661888"
"5","1478059562200702979"
"6","1534350001975050244"
"7","1411995496806191109"
"8","1529169496388272129"
"9","1534310465383317509"
"10","1510765193722306560"
"11","1508159322945204228"
"12","1534265970918936576"
"13","1517993388603232258"
"14","1531459477190217728"
"15","1293769631325253632"
"16","287749413"
"17","30141036"
"18","3323353370"
"19","1280512239217389570"
"20","1398781914908086275"
"21","1531650986246164481"
"22","1529714685997613056"
"23","1505160765610901510"
"24","1429268215222390786"
"25","1023389325600468992"
"26","1331723357641867266"
"27","722226155110014977"
"28","2743063186"
"29","1482018102640578563"
"30","1518763671933288448"
"31","1518997502774632449"
"32","1143632828"
"33","1531834909496594432"
"34","71570336"
"35","1499732206259949568"
"36","1472149152402649091"
"37","1491102193327681537"
"38","907794255158145025"
"39","1175256933160431617"
"40","246463981"
"41","1534162530628927488"
"42","1534079000729235456"
"43","1533097699582611456"
"44","1394661973263101952"
"45","1534134568348839936"
"46","1534133250012356608"
"47","1518638667908190209"
"48","1495031975090040839"
"49","3281841668"
"50","1530741912977944577"
"51","1533661195437228032"
"52","1531663864131387392"
"53","91584397"
"54","1181792051332931589"
"55","1364875142"
"56","1436288252277714946"
"57","1520652131061350401"
"58","1530867286726287360"
"59","1414646076167049217"
"60","1534019117388275720"
"61","1264965219966689282"
"62","1512698105640243201"
"63","1153874247409917952"
"64","354007030"
"65","733824902"
"66","1532705206768746496"
"67","1533976026518274048"
"68","1508751908701634562"
"69","58824450"
"70","1480159207349714945"
"71","1533947375345074176"
"72","1324425087194259457"
"73","1518901184186273792"
"74","1529195173418348545"
"75","53463748"
"76","260791637"
"77","1206011115999780864"
"78","1289158988051951618"
"79","1533887059672190976"
"80","1533305849959022593"
"81","1315987871849832450"
"82","1131985966779031552"
"83","261116211"
"84","1533859863175888896"
"85","1520027059510198275"
"86","1533855744302399488"
"87","1496870408536088576"
"88","1533854265244061696"
"89","1115127371760373760"
"90","950696399439409152"
"91","1089235037692686336"
"92","1224584088058646528"
"93","1321045021349400578"
"94","1533814073153970176"
"95","1441835293733097476"
"96","1496446065444556803"
"97","1452950633204621320"
"98","2245692691"
"99","1484922442195902465"
"100","1533791519798202368"
"101","531914160"
"102","1533789791707357184"
"103","1464144359725621280"
"104","1204629654126002176"
"105","1416242057815814145"
"106","1533719272626630657"
"107","1294622197667987456"
"108","1522532933172482048"
"109","1394171278500589572"
"110","1533748346887712769"
"111","1529790924217360387"
"112","1384979412110749699"
"113","1200624349214105600"
"114","1470651861870866433"
"115","1079622963178008577"
"116","118765472"
"117","797494706297012224"
"118","1512467393901207558"
"119","1397803873708949507"
"120","1533673026859831296"
"121","1533167953893593090"
"122","1151525138854289411"
"123","1332972372807327744"
"124","1053627216733634561"
"125","1088643841538682881"
"126","1532958658472050689"
"127","2299857120"
"128","322891374"
"129","348863820"
"130","1218378306418024448"
"131","1333434142130925568"
"132","1531012426694594561"
"133","1513689306828783631"
"134","1532868659042955264"
"135","862401611062284288"
"136","1060749147500920839"
"137","1533235043413504001"
"138","1522466722854457344"
"139","1485335501213253638"
"140","2371403768"
"141","1533204357377925120"
"142","1236118794302640129"
"143","1533549416254263304"
"144","1479942069837778947"
"145","1505240341624107009"
"146","1497665550662651913"
"147","1272733110182899713"
"148","2483926370"
"149","1384911758528106496"
"150","987600619346190336"
"151","1532236562943348736"
"152","1516699137005260800"
"153","1088862847436754944"
"154","1510558544952586242"
"155","1413565842160226306"
"156","1504040312012173315"
"157","1533450632887250951"
"158","1445195745779453961"
"159","1529348517554458624"
"160","748252205950525445"
"161","1532767686056300549"
"162","1533423094064611328"
"163","1533422641725550593"
"164","1516207089114353668"
"165","1527179672060149761"
"166","1533406892852006912"
"167","1502773692841013251"
"168","1396260409145974786"
"169","1499892231150481411"
"170","1525558598293913600"
"171","1214120653881655296"
"172","1532143500720058368"
"173","1112891345952104448"
"174","1530251200393646080"
"175","1533329901444804609"
"176","1533325989836914690"
"177","30886601"
"178","1511189130633519104"
"179","1532173743430041600"
"180","1511247392401625088"
"181","1533312393643970560"
"182","1533311234380115968"
"183","1528381832693026817"
"184","1078838265485107200"
"185","1531896494734852098"
"186","1249724250493087745"
"187","1533228957017030657"
"188","820832047002451970"
"189","1533088387934175232"
"190","1361444890287214594"
"191","331744631"
"192","1491806015402086409"
"193","750133735765471233"
"194","3272491650"
"195","1528367962364596224"
"196","3500358435"
"197","1531650939051986945"
"198","1527791243648188416"
"199","1532699188160503811"
"200","1342623039935180800"
"201","1480478660540911617"
"202","1167262768644460544"
"203","1532362221682151426"
"204","1337470559098187782"
"205","1300280452004151297"
"206","1532378820757667841"
"207","1529957673684373504"
"208","1444899280221655040"
"209","1485097887163895813"
"210","474511119"
"211","321603690"
"212","1514963521674514438"
"213","1511999190096056322"
"214","1533082804673982464"
"215","1362211726209482757"
"216","1533081933080670209"
"217","1497840448546787331"
"218","163529799"
"219","1290065549536493574"
"220","1532832304606887936"
"221","1061199792410308608"
"222","1123466915941318656"
"223","1196513465558601728"
"224","896809147093704710"
"225","1433375801492131845"
"226","1505479817772564482"
"227","1532902766045237248"
"228","15252169"
"229","1530894085976113152"
"230","1532346840296873985"
"231","1436190660474728463"
"232","1464269059663532048"
"233","1513765787558895616"
"234","1532691902390231042"
"235","1530791485452468224"
"236","17571681"
"237","1532958378951159810"
"238","1488094465944342530"
"239","1350809688665956353"
"240","501453555"
"241","3033913851"
"242","1532174110981251073"
"243","1532883893426311169"
"244","1335859401169784833"
"245","1532877077111767043"
"246","1530990032714178563"
"247","910889465396301825"
"248","1532864179811790849"
"249","1118891542071128064"
"250","1240804962680135681"
"251","121593934"
"252","1529488088992518144"
"253","1073242844683530240"
"254","302243345"
"255","1321226292600033281"
"256","1532825786327019520"
"257","1489236895230009344"
"258","1518974352678604801"
"259","3242628504"
"260","1532417686587711490"
"261","1518633855862943748"
"262","1394616417866113026"
"263","1361698791175294978"
"264","1517133125712711681"
"265","17159639"
"266","1290522529111724034"
"267","1532779688053116930"
"268","1532437294149423113"
"269","1340819044329422849"
"270","1532773076332695553"
"271","1532770899258093568"
"272","907723603847790592"
"273","1497222082668679175"
"274","1532109581756911616"
"275","1532721871430590465"
"276","1532716111703203841"
"277","1332343195385159680"
"278","1530272800027594754"
"279","2867208765"
"280","1516878074884800513"
"281","1529335095815192583"
"282","104766962"
"283","3241965105"
"284","1502868503791116289"
"285","1508757933357772806"
"286","1532600753809858561"
"287","1532523173451022336"
"288","1421561048662900736"
"289","1530201008436981760"
"290","1097375859131015171"
"291","714941106018979841"
"292","1520256464853651456"
"293","1532460213617541131"
"294","1532570915074150412"
"295","1125077797494493184"
"296","1530804456337690624"
"297","1531692988266520576"
"298","1098306308636401671"
"299","1514881863231303682"
"300","1490892151479226372"
"301","1391890957201719300"
"302","1514641795983941637"
"303","1524213196571258881"
"304","1523792547805544449"
"305","1529002239850713088"
"306","83186780"
"307","1046461295153868801"
"308","1477742095439966213"
"309","2319429962"
"310","455467295"
"311","1529921862909710365"
"312","1302985945113923588"
"313","1530233535520555008"
"314","1478186829631393793"
"315","1532473794828328987"
"316","1532468486970253315"
"317","991862132"
"318","1503784045506961416"
"319","1529841511730274304"
"320","562648980"
"321","1437602621662056448"
"322","1532451383181557766"
"323","1527805635256934400"
"324","239034691"
"325","888991247301574656"
"326","355360703"
"327","1532178101970829312"
"328","1509211905768189952"
"329","1284074416419340288"
"330","1298507049962074114"
"331","44505231"
"332","1520711610469335041"
"333","1530708939918045184"
"334","1196082846693126144"
"335","1463516976811102219"
"336","1526349026656153601"
"337","940769630"
"338","1522443495956381696"
"339","1517169674227798022"
"340","1496497899441692672"
"341","1531769746370478080"
"342","970425224763146240"
"343","1473253229328801796"
"344","1144991324510154757"
"345","1528599824169324546"
"346","1521864122475991040"
"347","1490926060631900160"
"348","1384597760997986304"
"349","1058542244196581377"
"350","123093094"
"351","1531416056748773376"
"352","1413663668034850821"
"353","1532202052113166336"
"354","1357277330901712898"
"355","1461791997048492032"
"356","799841985053888512"
"357","1503900386226327558"
"358","1389585685577834502"
"359","1532166102733598720"
"360","1532168550554673152"
"361","1531551402299899904"
"362","1512498820722171912"
"363","1532171733473673217"
"364","1532159019871240193"
"365","1515989120480432128"
"366","1532104036274655233"
"367","497958869"
"368","1514319409518714884"
"369","1368218232415420416"
"370","1467358338769997830"
"371","7976822"
"372","1426655140275056642"
"373","1726343778"
"374","1530641417395216386"
"375","1511849587039997956"
"376","1527734576763883523"
"377","4032636423"
"378","1488985407794475010"
"379","1522238561696854022"
"380","1483448971469238272"
"381","1512717640116191235"
"382","1269774061187579905"
"383","1358493686623924225"
"384","1358640192765243393"
"385","1522259197336948736"
"386","767878079796670464"
"387","3292283377"
"388","2431754293"
"389","792728268"
"390","463658748"
