"","user_id"
"1","1453522829165670404"
"2","1534465206885171201"
"3","1534464053812137984"
"4","1534460879793795074"
"5","1534465504374427648"
"6","1511186911779381248"
"7","1533796594469986305"
"8","1534418043816005632"
"9","1511795222006616068"
"10","1533840966968295425"
"11","1460198601343258630"
"12","1534454115438305280"
"13","1534464745729937408"
"14","1534458952485847041"
"15","1533500670313041920"
"16","1528554039159537664"
"17","558310645"
"18","1394495026521018376"
"19","1534462026151387136"
"20","1195594083332435969"
"21","1521809598591959041"
"22","1533058340053569541"
"23","66641116"
"24","1534459962461523968"
"25","1534464342581813250"
"26","1534461199953240065"
"27","1534463600609611776"
"28","1530164260310921216"
"29","1534463693316050944"
"30","1456619827578404864"
"31","1534424384416452608"
"32","1534461698505064448"
"33","1534458419754717190"
"34","1534459180542832640"
"35","956032405042860032"
"36","1528373294037995520"
"37","1534459839660937216"
"38","1264476610851471360"
"39","1210175138492059648"
"40","1534460511533731840"
"41","1509524643320791045"
"42","1534462866656374784"
"43","1534461076502646784"
"44","1481768934642704386"
"45","1534462386509336577"
"46","1388247414159536129"
"47","1534460286853324800"
"48","1534457066340995073"
"49","172996874"
"50","1534462178136207360"
"51","750709118709690368"
"52","1534460472463970304"
"53","1514418245964644352"
"54","1534461684353466369"
"55","1534458342369808384"
"56","1534460162266005505"
"57","1494396717650878464"
"58","1534461611099967488"
"59","1534460873732894720"
"60","1534461501402415109"
"61","1241716238843330563"
"62","181992205"
"63","1517088368592494592"
"64","733810691111555074"
"65","1534460643943800833"
"66","1534457438153281537"
"67","1534460260307857408"
"68","162967266"
"69","1534016477350748167"
"70","1534459644416081925"
"71","1476548680329330688"
"72","1534227039594680323"
"73","1534455737480785920"
"74","1534459108576751616"
"75","1534453799104163840"
"76","1534460054786932736"
"77","1534460086461947904"
"78","1534458027881148417"
"79","1534458398078795778"
"80","1522543402134482945"
"81","1534459201669693440"
"82","1518871215905337345"
"83","1520430291545862144"
"84","1534456305364000768"
"85","1534456491012501507"
"86","1534458968130699266"
"87","1534459387082727425"
"88","970853523679096832"
"89","1534458549774217216"
"90","1533035418291040256"
"91","1534458168616550400"
"92","1534457684921135106"
"93","1534454451540328448"
"94","1534452591928954880"
"95","1443862921788805124"
"96","1534457634820083717"
"97","1311261690445656065"
"98","1534451451019382784"
"99","1534458450553409536"
"100","1534457043398303744"
"101","1534458134428848128"
"102","1534457135719141376"
"103","1515191991826530306"
"104","835886779"
"105","1525776001229213696"
"106","1534457837396627456"
"107","1490382897450262534"
"108","1534457356746387456"
"109","1534456278524866560"
"110","1534455752953409539"
"111","4031451712"
"112","1534457361359704064"
"113","1534455094992785409"
"114","1534455943538286592"
"115","1527964658212261888"
"116","1534456287853182977"
"117","1534456032742752256"
"118","1501110878900531208"
"119","1089902302155157505"
"120","1505794194266529792"
"121","1534456838762143744"
"122","1534456611867361280"
"123","1533164403557863424"
"124","1534444897360834561"
"125","1533314371090366469"
"126","1475851702079213569"
"127","1534449099558232070"
"128","1281632984144240642"
"129","1534454793552515072"
"130","1534455909631418369"
"131","1534455796699889666"
"132","1534455185929424897"
"133","1532243786272628736"
"134","1444884869788495881"
"135","1534454616384937984"
"136","1534455365420859394"
