"","user_id"
"1","1422315792054489093"
"2","977755325699895296"
"3","1251694140636741634"
"4","1483643858231701509"
"5","1386370871808327682"
"6","490621583"
"7","525985815"
"8","1483302748951097345"
"9","1497374735876988934"
"10","1049843023629217792"
"11","1445194098995081220"
"12","115444967"
"13","887511887570755585"
"14","1533279752903086082"
"15","1518784107202949122"
"16","950160435617124352"
"17","1258538341454274561"
"18","1513245824507068420"
"19","123040364"
"20","1466416305049903114"
"21","1526943851855990784"
"22","142422720"
"23","1185759071745519616"
"24","1251563433486508032"
"25","159231828"
"26","1533286917953011712"
"27","1355539316"
"28","1533287665520492546"
"29","717594035561431040"
"30","1295460570200772610"
"31","1293632609579401216"
"32","212302587"
"33","1533286294016733186"
"34","1385331709214826497"
"35","1450189624563863557"
"36","2687779078"
"37","1415984238093033477"
"38","1533242811839029250"
"39","1215774662547865600"
"40","2186620215"
"41","1275154588233064456"
"42","1395977439105462276"
"43","1260378923533287425"
"44","1256017715594174466"
"45","110580709"
"46","1533286478066987008"
"47","1476017703823552514"
"48","1263630064823996421"
"49","1420190422270455808"
"50","1526189235820285952"
"51","1533287495395381250"
"52","726060488979824641"
"53","1082748826962849794"
"54","1529080843813146632"
"55","1533282525527048192"
"56","116862695"
"57","1455261537426415624"
"58","1497058600841142274"
"59","3202422667"
"60","1532934072816873472"
"61","1320601385600253953"
"62","1361689923061973006"
"63","2638055174"
"64","1515489473970200576"
"65","1181250241544278016"
"66","119133311"
"67","1533286934713606144"
"68","960104027949281280"
"69","226273098"
"70","1499507362490728453"
"71","327638179"
"72","1528812779293093891"
"73","1533287214670524416"
"74","1532672207821983744"
"75","1419561618057355265"
"76","1418285392839823363"
"77","880500936036241408"
"78","335254545"
"79","1510044935906594822"
"80","2796572766"
"81","1351301259417038849"
"82","1453586818922844163"
"83","410951027"
"84","346822943"
"85","1506426840751251462"
"86","1533287001327386625"
"87","1290999371492921344"
"88","1531831772345823233"
"89","1142526036447395840"
"90","1445073470166114307"
"91","1203105363890978816"
"92","579457579"
"93","1319927563142238208"
"94","1118962244883243009"
"95","1502723508840935433"
"96","58655664"
"97","1521690495491133440"
"98","4638773176"
"99","1094027488685109248"
"100","283040250"
"101","889684455106912256"
"102","1097886340648263680"
"103","1191513966"
"104","2822107295"
"105","82521140"
"106","572242263"
"107","2717877193"
"108","1455959679385980932"
"109","1485432072936337408"
"110","1293383797950611461"
"111","1533287364176625665"
"112","2952838330"
"113","702179853768896512"
"114","798415257983188992"
"115","911026933877456896"
"116","1528290992990097409"
"117","200179363"
"118","903285151551119363"
"119","1533287316805996544"
"120","1530739501198454785"
"121","1085032911324229633"
"122","1083690823378644992"
"123","586708614"
"124","1500235518071689220"
"125","1335809023543742471"
"126","1398236920963022850"
"127","264972716"
"128","1445026730423595009"
"129","1275637951066771456"
"130","1053741034608431104"
"131","182178092"
"132","944983927046975488"
"133","1014516176"
"134","940437410"
"135","1491151724438040582"
"136","241275022"
"137","1386781649417945088"
"138","1504650797623259171"
"139","1493316622995574784"
"140","153103760"
"141","1345513245344317440"
"142","1510060860043141125"
"143","1374712056088248322"
"144","2303144221"
"145","1273631660664291328"
"146","1527786631687589888"
"147","102045406"
"148","322318574"
"149","1533286774302076929"
"150","1533137343707852802"
