"","user_id"
"1","1502669731781767172"
"2","3472963759"
"3","1489695335236743169"
"4","1522238349754322944"
"5","78669679"
"6","1504958604494839808"
"7","1526523552551288832"
"8","1523492410403307521"
"9","4819744714"
"10","1532909073552793601"
"11","1324769093342384128"
"12","1518630290616369153"
"13","1325830711690092544"
"14","1479529838490775552"
"15","1533235383999377409"
"16","1392084635123736582"
"17","1402834485780045824"
"18","1393826005031133185"
"19","1448749733946830851"
"20","1378211033823604737"
"21","1350147124613279745"
"22","1288892432101314561"
"23","1533188854039060480"
"24","1473597257987461126"
"25","1357793546481393664"
"26","3500358435"
"27","811716698411646976"
"28","1532076643853942786"
"29","1532831566258442244"
"30","1520864781976014848"
"31","1427133622662746118"
"32","1527474782211813376"
"33","1373490645076090884"
"34","1527791243648188416"
"35","1532699188160503811"
"36","1533187097317761024"
"37","1463482866206052355"
"38","1499909907503632390"
"39","1495842064332103680"
"40","1532604531808272384"
"41","1424750048106135552"
"42","2359687795"
"43","1358687382594289665"
"44","1385000597552836608"
"45","1532808947073175552"
"46","1321105221758705665"
"47","1533168594942672896"
"48","1532725198859997184"
"49","1367172851812425728"
"50","330759334"
"51","1147112081839271937"
"52","1532362221682151426"
"53","4902217144"
"54","1533161200749518854"
"55","1533160037429805056"
"56","1532329392478703617"
"57","1347586154950918145"
"58","1533154498222358528"
"59","1533004836693626881"
"60","1384427520343166978"
"61","1376115665178779650"
"62","1289231037197881345"
"63","1533147697649266688"
"64","1533148750234910721"
"65","1426973973150064643"
"66","1418635513347588098"
"67","1532378820757667841"
"68","1264227676178563073"
"69","1430354558526574592"
"70","1532023615847563264"
"71","1533139379145031680"
"72","1533138991704289280"
"73","1504703514760871939"
"74","1533138109264953344"
"75","1449410373598121986"
"76","3376556573"
"77","1533133310620213249"
"78","1467389897916878851"
"79","1488398012917301250"
"80","1419693873350070272"
"81","1533131363821441024"
"82","1502260071363137539"
"83","1533125626370072576"
"84","1514684107661488141"
"85","1497227690403049472"
"86","1451074961863372800"
"87","1530802928306511872"
"88","1501875130888515586"
"89","1525157097142333440"
"90","1403314678198005761"
"91","1280397950703644672"
"92","1442097695259127813"
