"","user_id"
"1","1513175979660881928"
"2","1167973520346898432"
"3","958704180008427527"
"4","1516219911017750531"
"5","792415986"
"6","1533230683220430848"
"7","1336879870404685824"
"8","1402112992129556488"
"9","1421193427623063561"
"10","1527069209846480897"
"11","1526036837982142464"
"12","1533232438293438465"
"13","1531885767060254721"
"14","1518724492197040129"
"15","1454315712886022145"
"16","1313293798034862081"
"17","940282443151556608"
"18","1524067001567690754"
"19","1067972179743133698"
"20","1425745941416472579"
"21","1532494862582358021"
"22","1394857196630904834"
"23","1533189644053094402"
"24","1530268630415552515"
"25","1533246479682486272"
"26","1533246517213298688"
"27","1508466272673140737"
"28","1533247585217310720"
"29","1022082179449335808"
"30","1464818041204756484"
"31","1461119043398619136"
"32","1360276089952641028"
"33","1533195243293536256"
"34","2231582534"
"35","1533246843735400449"
"36","1333682961456066566"
"37","4858278439"
"38","1497283731555426304"
"39","1532715004545208323"
"40","1533222461298429952"
"41","1126715863"
"42","1531054759540580352"
"43","1453939599504408579"
"44","1533245039085854725"
"45","1533247300641861632"
"46","106148122"
"47","1518986884872957957"
"48","1533231965607976961"
"49","1533243775765852160"
"50","1519258956258062336"
"51","1411037181326602242"
"52","1533246716178317315"
"53","1533246235041091585"
"54","1283666960455208960"
"55","1533244102388555776"
"56","1508710745831317515"
"57","1533239327144411136"
"58","1450210261592387587"
"59","1507479708308582405"
"60","1422394590435454995"
"61","1533243979969581056"
"62","1526255795339411463"
"63","2300679158"
"64","1518564933033734146"
"65","1330205245306179587"
"66","1530707444380352512"
"67","1515765410309812227"
"68","1526427448165994497"
"69","1479259170763333632"
"70","846392277559906306"
"71","1519446688418648064"
"72","1248285435857711105"
"73","1533194541750177792"
"74","1445970415545950214"
"75","1180017607"
"76","1532517708973195264"
"77","865287126488944641"
"78","1202895669792518146"
"79","1533244159540154368"
"80","1317739261433679872"
"81","1390121099996893199"
"82","1505141133563035650"
"83","1533244327308038146"
"84","1533243957106425856"
"85","1533056554915704832"
"86","1525973745713795073"
"87","1533243241058795521"
"88","1493426745965436934"
"89","1533240523011530752"
"90","1481514283284500481"
"91","1533239604794507265"
"92","1483635231395495939"
"93","1318294408517791744"
