"","user_id"
"1","83811962"
"2","1425284801708298246"
"3","1176961742154452992"
"4","1475077609914572803"
"5","1411609862094655489"
"6","1533201931493158913"
"7","1533238294535888896"
"8","1520961533123039233"
"9","1461708242489389063"
"10","1146546092298948608"
"11","1533234193907519488"
"12","1147019607242235904"
"13","1472206881527672840"
"14","1136739732577296393"
"15","1444322669768298499"
"16","760941508967165952"
"17","1533236581833768962"
"18","1533227017713373184"
"19","1461526412674973696"
"20","1467723756479123462"
"21","378328370"
"22","121177232"
"23","935901984"
"24","1533234690542473216"
"25","1523024181071421440"
"26","1532097942164844546"
"27","1533231147550916610"
"28","1525198428988243968"
"29","1510336372644757504"
"30","1497344318297813000"
"31","1461652942629613573"
"32","1287187276372606979"
"33","1306467507340009472"
"34","1532945116830351361"
"35","709658472"
"36","757795110495006721"
"37","1533230174006923264"
"38","1533230148777979904"
"39","3176565845"
"40","26435941"
"41","1530270814536290305"
"42","1477090981321359363"
"43","1533231767993335813"
"44","1524530009980825600"
"45","1453161404094164996"
"46","1486470219740725250"
"47","1530676339321122816"
"48","1531771555851665414"
"49","733017780438634496"
"50","1532884865678311424"
"51","1529990453101318145"
"52","1524242395583365121"
"53","1518668548192755714"
"54","1431391207582752769"
"55","1533228972418416642"
"56","1156495961574793216"
"57","1492152305336168456"
"58","1289186643803398144"
"59","1212878059151343616"
"60","1533224577375125504"
"61","1532506969738706965"
"62","1528489180816457728"
"63","1516441276979335169"
"64","388299748"
"65","1525908692968906753"
"66","1533223677738864642"
"67","1220004655901691904"
"68","1458341683423158273"
"69","817929530"
"70","1533212507631935488"
"71","4423675153"
"72","949046619613335553"
"73","1495640977758896128"
"74","1533217764638445568"
"75","531008661"
"76","1522573131440963585"
"77","1522244272308768771"
"78","1533223204365402112"
"79","1424010496366190595"
"80","1533215213301944320"
"81","1003336069885067265"
"82","1463711585432604680"
"83","1368424783306756098"
"84","1072576207772925953"
"85","471803342"
"86","886319878789103620"
"87","1310909178324582400"
"88","1504843780595191813"
"89","1504015151728668672"
"90","1301638233529487360"
"91","1210674885627928576"
"92","1408886763490320384"
"93","1528783166915366912"
"94","1532536758910570496"
"95","1533218617470332928"
"96","1436778577622618115"
"97","1463051780527472640"
"98","1076636358117154816"
"99","1530901975927345159"
"100","1518766308770426881"
"101","1439303871357095938"
"102","1478223932738060289"
"103","1525555466671214593"
"104","292674536"
"105","817965896"
"106","1518637584473333761"
"107","1533081694944780289"
"108","1501223725374521347"
"109","1533207212931264514"
"110","1445192596783992834"
"111","1471947437900185611"
"112","1473597257987461126"
"113","24139730"
"114","1431997611343503368"
"115","1451216971987574785"
"116","1530922176706232320"
"117","1372841608929026049"
"118","1423675362874060803"
"119","928721875030724609"
"120","1532480774728998913"
"121","1523411276491366401"
"122","1533210449780539393"
"123","975337192204701696"
"124","1533210675560042497"
"125","1456630132584730624"
"126","1497171533197946882"
"127","1520615240437805056"
"128","1448080714814087170"
"129","947411676051238912"
"130","1473406408318234631"
"131","824303186617831424"
"132","1533206944718135296"
"133","1532726904545021957"
"134","1387264275719262213"
"135","281280056"
"136","1518690896233041920"
"137","906464947"
"138","1533200285492994049"
"139","1504194916922142720"
"140","1162852787182551040"
"141","1530036770712084480"
"142","1301562806202843136"
"143","1501723280100978693"
"144","1524991128944406529"
"145","1533206369972760579"
"146","1525796195913945088"
"147","1424858062607855618"
"148","1383694326958493700"
"149","614479279"
"150","1525023751787712512"
"151","1533194792393400320"
"152","1499471127495815170"
"153","27029734"
"154","2753449774"
"155","1533205579962916865"
"156","78003858"
"157","1533205431941750788"
"158","1511357556479909893"
"159","1434439955712036865"
"160","1129371898205351937"
"161","988691162167947264"
"162","1532104307121717250"
"163","1502108397600223238"
"164","1899135600"
"165","1533204989665062915"
"166","1532531493213446151"
"167","1533203431489425413"
"168","1513570853526589442"
"169","1532928039667089408"
"170","1533203305366794240"
"171","1507163633427513388"
"172","1529998979970535424"
"173","1516789125214613507"
"174","1527095578345218048"
"175","1477896077596626945"
"176","1321116992317857792"
"177","1103778814981750784"
"178","1527326834547105793"
"179","1462951323205349383"
"180","391805367"
"181","1246519517641084928"
"182","610443456"
"183","1503106163327614976"
"184","1520153301299437573"
"185","1533198027845943297"
"186","1511005334919335943"
"187","1221452533236932609"
"188","1533198653904633856"
"189","1528488545496846339"
"190","1533197860342272000"
"191","1298630080579526657"
"192","1533196702525554690"
"193","1369320155914862596"
"194","912311180085092354"
"195","1520180024162324481"
"196","2856175478"
"197","2638911563"
"198","2846650026"
"199","1486018303839641606"
"200","1156372637528002560"
"201","1533190318971142144"
"202","870512490672668673"
"203","1526997850596466693"
"204","1532691344392699904"
"205","1533181073928200199"
"206","1202680006348038151"
"207","706658515503419392"
"208","1441010246298832903"
"209","712423386"
"210","1419764203360038914"
"211","1401437031138574336"
"212","3542857277"
"213","1018108587204153344"
"214","1328354528505126912"
"215","1474066588684988427"
"216","2504271822"
"217","384704789"
"218","1166164856715796481"
"219","1533193699781398528"
"220","1470106499590639618"
"221","1531418150155309057"
"222","4504830973"
"223","1533131007813111809"
"224","1183426436335583239"
"225","1472936296104534017"
"226","1533190257230987264"
"227","1530241122953576448"
"228","1422412799557373955"
"229","879501492226490369"
"230","1513413649687318530"
"231","1533191026697031682"
"232","1533169061353467904"
"233","1532826006993547264"
"234","1418104835577155584"
"235","131928778"
"236","1533189165340209152"
"237","1426763469789990917"
"238","1491925652815200281"
"239","1449089314743361537"
"240","447457733"
"241","1526540469865521153"
"242","1531783138623430656"
"243","1533187575556579330"
"244","1533185776305176577"
"245","2939994236"
"246","1348013336563249154"
"247","1258424337192943618"
"248","1533180722017619969"
"249","1529860689594286080"
"250","1389259632720457728"
"251","1530592791428055040"
"252","1352039834446143492"
"253","1524116874908385280"
"254","1528819544462184451"
"255","1245608806005915653"
"256","1533185935462080513"
"257","1531096028069388288"
"258","1452635013435039756"
"259","1487500012657561600"
"260","1491062805251997698"
"261","1332961960950951937"
"262","1533117982574006278"
"263","1533114822707105797"
"264","355611016"
"265","972297236670431232"
"266","1533183297005699073"
"267","1448348682630230020"
"268","944616650585845761"
"269","1529185052239740928"
"270","2273482585"
"271","1421919220389003269"
"272","1533183861345099778"
"273","1533182818347515904"
"274","1501555694377607168"
"275","1533178630989393920"
"276","1392266662716530688"
"277","176867630"
"278","1533180428357623810"
"279","1533176971911385089"
"280","1533077726617210881"
"281","1531027088731512835"
"282","1512885806805192704"
"283","1532725998617350148"
"284","971122970876837893"
"285","1533179023131549697"
"286","1372574918643220481"
"287","1533178418413568002"
"288","1496685238797352961"
"289","1515532603268472834"
"290","1136077562205966336"
"291","1525325312216780800"
"292","179796172"
"293","1532922229444513792"
"294","1533171640057704448"
"295","1532809481905651713"
"296","1533177289193799682"
"297","1519720976258326529"
"298","1533177688919269378"
"299","40460580"
"300","1533165573529653248"
"301","1533133096182239239"
"302","1533173150061838337"
"303","1465118102207746048"
"304","1425113392465993728"
"305","1472995205380980740"
"306","1526585597569249281"
"307","1491453210971807746"
"308","963103951473270786"
"309","1533173331905630208"
"310","1513657702743957505"
"311","1520997081799872512"
"312","1234242265050120195"
"313","1533170315869798403"
"314","1533172367513493507"
"315","970491530581430272"
"316","2261821891"
"317","1362702640682070023"
"318","1350632336899989507"
"319","1533171548059848704"
"320","1533150037584142336"
"321","1395443611353845760"
"322","1532452749211602944"
"323","1533165933262413825"
"324","1533070979869683712"
"325","1532795519742918656"
"326","1437333998326456321"
"327","1533164582545543173"
"328","1510218881973080065"
